Adres;PC;Huisnummer;Toevoeging;Wijk;Aannemer;Contactpersoon;Datum_aanvraag;Soort;nb_hoogte
Jan Pietersz. Koenstraat;1053 JC;135;B;Bokkenbuurt;ABB BOUW B.V.;N. van der Velden;01/09/2016;Verwijderen stal;32
Huppeldijk;4373 MK;17;;Oudwijk;Bosch Fa.;H. van den Berg;21/01/2017;Verwijderen stal;35,2
Leidsche Vaart;4815 QP;29;;Lombok-Oost;Akerbouw Aannemersbedrijf B.V.;F. Prins;23/08/2018;Verwijderen stal;9,6
Zeedijk;9265 HU;119;B;Vogelenbuurt;Schotgroep Aannemingsbedrijf BV;V. Molenaar;12/06/2020;Nieuwbouw;16
Domtoren;7487 FO;140;C;Terwijde;H & H Timmer- en Aannemingsbedrijf;Q. van Beek;27/06/2019;Verwijderen stal;22,4
Maliestraat;7770 VI;80;;Bedrijvengebied Overvecht;Peek Bouw & Infra BV;X. Sanders;07/04/2015;Schuur;35,2
Boschstraat;2757 SR;23;;Bloemenbuurt;vd Bouwbedrijf Woude B.V.;G. van Wijk;07/05/2017;Schuur;12,8
Kr. Elleboogsteeg;3429 JP;145;;Tweede Daalsebuurt en omgeving;Keijl Bouwbedrijf;U. Hoekstra;04/07/2019;Aanbouw;38,4
Geertebolwerk;8019 MW;79;;Tuinwijk-West;Markus C en J en Zn B.V.;U. Post;26/07/2018;Nieuwbouw;9,6
Kr. Nieuwegracht;3913 AC;15;;Lombok-West;Archangel Bouw B.V.;H. Janssen;11/11/2015;Gevelrenovatie;32
Malakkastraat;8118 IJ;11;C;Transwijk-Zuid;Koppen Bouw B.V.;V. de Graaf;15/07/2016;Stal;25,6
Rembrandtkade;9778 FO;25;;Tuindorp-Oost;Witkamp Bouwgroep BV.;V. van de Ven;27/07/2016;Aanbouw;16
Ledig Erf;5747 AE;74;;Transwijk-Noord;Bouten Bouwbedrijf B.V.;F. Blom;14/09/2015;Boomkap;38,4
Rotsoord;6382 HK;150;;Nieuw Hoograven;Driemond Bouw B.V.;F. van den Pol;17/04/2018;Aanbouw;12,8
Korte Jansstraat;4781 FA;52;;Tweede Daalsebuurt en omgeving;UDB Bouwservice;E. van der Linden;31/01/2018;Verwijderen stal;22,4
Catharijnesingel;3412 IC;131;;Molenbuurt;Bouwbedrijf Buschers B.V.;N. van der Horst;17/05/2017;Schuur;32
Appelstraat;2202 GD;66;;Tweede Daalsebuurt en omgeving;Kok Lexmond B.V.;G. Koster;24/08/2016;Dakkapel;25,6
Schutstraat;6342 IQ;72;;Schildersbuurt;Zandspuiten.nl;L. Schouten;18/10/2015;Dakkapel;6,4
Laurens Reaalstraat;8388 GI;67;B;Schildersbuurt;KoningBouw;H. Huisman;03/05/2020;Schuur;32
Looierstraat;8435 YS;100;;Rivierenwijk;Bouwbedrijf Van Norel B.V.;R. Janssen;11/08/2016;Stal;6,4
Koningstraat;9476 JS;51;;Pijlsweerd-Zuid;L&R Bouw VOF;T. de Jong;05/02/2015;Nieuwbouw;16
Mauritsstraat;3244 XT;108;;Vogelenbuurt;Bouwbedrijf vd Bosch B.V.;A. Bosch;21/01/2018;Aanbouw;38,4
Stationsdwarsstraat;5777 LZ;46;;Bedrijvengebied Overvecht;Aannemer en bouwbedrijf Aladino;U. Hoekstra;05/10/2019;Dakkapel;19,2
Begijnesteeg 1e;7084 OE;44;A;Rivierenwijk;GEBR THIJSSEN B.V.;X. van Veen;30/11/2018;Dakkapel;22,4
Griftstraat;5443 IK;62;;Kanaleneiland-Zuid;Aanpak Bouwservice;C. Willems;16/05/2016;Stal;32
Wolvenstraat;3556 MM;27;;Lombok-West;Van der Werff Groep;Y. de Leeuw;05/11/2016;Nieuwbouw;28,8
Kleine Lijnpad 1e;4331 MZ;45;;Bloemenbuurt;Bouwbedrijf van Rhenen;T. Peeters;19/11/2019;Nieuwbouw;22,4
Leuninggang;2387 LB;15;;Papendorp;Jeroma Bouw;J. de Koning;29/10/2017;Schuur;12,8
Abraham Dolesteeg;4995 AB;60;;Langerak;Kootstra-vd Veen VOF;H. van Loon;06/05/2019;Boomkap;32
Frederik Hendrikstraat;3532 DJ;56;;Staatsliedenbuurt;Akerbouw Aannemersbedrijf B.V.;P. van Dijk;17/07/2015;Nieuwbouw;16
Soendastraat;8227 AK;26;;Schildersbuurt;Bouwbedrijf Th. van Weert b.v.;R. Evers;10/06/2018;Dakkapel;22,4
Sterrenburg;7491 KW;102;A;Lunetten-Zuid;Bouwservice Harberink;M. Jonker;10/07/2015;Schuur;35,2
Haagstraat;3454 UM;112;C;Molenbuurt;Stabo Bouw B.V.;U. van der Heyden;20/07/2018;Gevelrenovatie;22,4
Twijnstraat;4170 FI;18;;Tuinwijk-West;Bouwonderneming Kuiper Blijham B.V.;S. Groen;10/02/2020;Schuur;28,8
Wolfaartsteeg;3369 WL;13;D;Nieuw Hoograven;Eshuis & Zn Aannemersbedrijf Fa J;Q. Mol;22/05/2019;Boomkap;22,4
Adriaanstraat;2849 DD;141;;Bedrijventerrein Lageweide;Faberbouw;E. Schouten;25/01/2015;Dakkapel;12,8
Noteboomenlaan;8711 FP;85;;Langerak;Aannemingsbedrijf J vd Windt B.V.;L. van de Brink;19/02/2017;Dakkapel;6,4
Kruisdwarsstraat;9361 XX;8;A;Nieuw Hoograven;Hoedemakers bouw en ontwikkeling;B. van der Laan;28/02/2019;Dakkapel;35,2
Kanonstraat;6758 XG;133;;Tuinwijk-West;Knol Bouwbedrijf Peter B.V.;M. de Vos;04/04/2020;Gevelrenovatie;32
Pauwstraat;1984 CI;98;D;Sterrenwijk;Louter Aannemingsbedrijf K;K. van der Ven;24/03/2019;Verwijderen stal;9,6
Haagstraat;8108 YJ;21;D;Molenbuurt;Bodavi Bedrijfshallenbouw;N. van der Laan;19/02/2019;Gevelrenovatie;9,6
Vredesteeg;6150 NH;146;;Papendorp;Van Wijnen Sittard B.V.;A. Willemsen;17/05/2015;Dakkapel;28,8
Vinkenburgstraat;5043 FK;33;;Pijlsweerd-Noord;Koertse Bouw en Onderhoud C;U. de Leeuw;20/01/2017;Verwijderen stal;6,4
Boorstraat;7351 GZ;91;C;Zuilen-Noord;Bouwbedrijf Marton B.V.;N. Groen;17/11/2017;Verwijderen stal;28,8
Padangstraat;2685 OL;83;;Oud Hoograven;Bezemer Bouw B.V.;V. Mol;07/04/2019;Schuur;32
Sumatrastraat;3728 UW;54;;Oudwijk;Bouwbedrijf P Ott BV;D. Huisman;11/08/2018;Schuur;25,6
Krielsteeg;2970 IR;101;;Nieuw Hoograven;Aannemersbedrijf Kappert Doetinchem B.V.;E. Sanders;15/11/2016;Verwijderen stal;32
Reestraat;6019 ZI;76;;Zuilen-Noord;Smit Aannemersbedrijf VOF Bart;Y. van der Meulen;31/07/2015;Schuur;35,2
Ezelsdijk;8243 JM;33;;Lombok-Oost;Holleman & Zn Santpoort B.V.;E. van den Heuvel;28/03/2015;Dakkapel;6,4
Kindgenshaven;3180 HA;81;;Oudwijk;Hendrikse Bouw;I. de Bruyn;16/02/2020;Aanbouw;28,8
Zaagstraat;1405 ZQ;44;;Tuindorp-Oost;J.Verschoor Bouw B.V.;U. de Jonge;21/08/2015;Verwijderen stal;19,2
Hofje van Zessen;3941 QC;4;;Pijlsweerd-Zuid;Tuerlings Bouw;U. van Loon;25/06/2016;Gevelrenovatie;12,8
Boogstraat;7618 VN;143;;Bedrijventerrein Lageweide;Wijen-Bouw B.V.;V. Post;23/02/2017;Boomkap;25,6
M.H. Trompstraat;8317 RH;44;;Ondiep;Bouwbedrijf van der Sloot;P. van den Broek;19/09/2015;Boomkap;35,2
Kievitdwarsstraat;9652 NR;49;;Dichterswijk;Smit Aannemersbedrijf VOF Bart;W. Kok;01/10/2016;Boomkap;19,2
Elisabethsteeg;5023 MN;99;;Bedrijvengebied Overvecht;Bouwonderneming Jager B.V.;Q. van Beek;19/11/2017;Stal;19,2
Schelpstraat;1573 GF;71;;Kanaleneiland-Noord;Aannemersbedrijf de Bouwmeesters.net;M. van Loon;20/01/2018;Schuur;35,2
Beverstraat;2191 QQ;26;;Bokkenbuurt;Schotgroep Aannemingsbedrijf BV;S. van de Berg;19/03/2020;Stal;28,8
Groote Eligensteeg;2017 QA;23;;Geuzenwijk;Bouwbedrijf Terluin B.V.;G. van de Velde;14/08/2018;Aanbouw;16
Looierstraat;8816 PW;49;;Oudwijk;Klussenbedrijf Ko Mes;M. Veenstra;21/07/2017;Gevelrenovatie;6,4
Drakenburgsteeg;1398 TN;17;B;Transwijk-Zuid;H Kroon Aannemersbedrijf B.V.;J. Kuiper;31/07/2018;Schuur;28,8
Abstederdijk;5840 GI;135;;Oud Hoograven;Van Santen & zn B.V.;L. van Dam;14/08/2016;Boomkap;35,2
Loefbergmakerstraat;3682 XM;12;A;Tweede Daalsebuurt en omgeving;Vios Bouw en Onderhoud Amsterdam B.V.;W. van Veen;01/08/2018;Schuur;32
Papaverstraat;1417 JW;80;D;Tuinwijk-Oost;Hofstra Hulshof Bouw B.V.;B. Wolters;20/03/2018;Gevelrenovatie;32
Piet Heinstraat;2602 TK;135;;Transwijk-Noord;Hemmen Bouw C.V.;D. Bosch;01/03/2020;Gevelrenovatie;38,4
Stijfselsteeg;1918 BO;78;A;Terwijde;Bouwbedrijf Chris Deen B.V.;Y. Jonker;24/04/2017;Dakkapel;9,6
Moutstraat;3974 YO;12;;Lunetten-Zuid;Kemper Bouwbedrijf;C. van den Pol;11/01/2020;Dakkapel;12,8
Vossegatschedijk;7272 DH;15;D;Rivierenwijk;Bouw- en Handelsmij Van Wingerden B.V.;P. van der Laan;29/10/2018;Gevelrenovatie;9,6
Plompetorenbrug;9332 AE;95;A;Nieuw Hoograven;Gerard Heij Bouw en Timmerbedrijf;B. Vink;01/02/2018;Dakkapel;19,2
Braamstraat;6660 KQ;66;;Dichterswijk;John Braas Bouwbedrijf B.V.;P. Hoekstra;02/10/2016;Gevelrenovatie;9,6
Vlijtstraat;9183 DK;30;D;Tuinwijk-West;Uw Totaalaannemer bv;Q. van der Velde;22/05/2016;Aanbouw;32
Griftstraat;8113 CS;92;;Transwijk-Noord;Hoedemakers bouw en ontwikkeling;P. Mol;30/03/2016;Dakkapel;19,2
Schoolplein;2595 HX;59;;Tuinwijk-Oost;Meet en Regeltechniek de Jong;U. Maas;27/04/2018;Boomkap;38,4
Doornboomstraat;6155 BJ;55;;Ondiep;Hecon Bouwgroep;N. van de Velde;07/08/2015;Stal;12,8
Riemstraat;3426 FJ;63;;Papendorp;Wolbers Bouw- en Renovatiebedrijf;N. Peeters;15/01/2018;Nieuwbouw;22,4
Korte Rietsteeg;9049 AP;92;C;Hogeweide;Bouwbedrijf A J van Hilst B.V.;M. Schipper;10/10/2017;Gevelrenovatie;9,6
Plompetorenbrug;7996 NR;86;;Schildersbuurt;Rowebo Aannemersbedrijf;R. Sanders;19/09/2017;Aanbouw;12,8
Kl. Geertekerkhof;3394 DR;144;;Bedrijvengebied Overvecht;Planubouw B.V.;U. van den Bosch;22/07/2015;Nieuwbouw;28,8
Pauwstraat;7609 LJ;80;;Oudwijk;Gebr Griekspoor B.V.;D. Mol;03/11/2016;Dakkapel;35,2
Huppeldijk;9194 RU;27;;Buurtnaam;Wösten Bouwservice;H. Dekker;21/10/2016;Aanbouw;28,8
Jacobskerksteeg;9261 OH;7;;Tuinwijk-West;Dickhoff-Spindler;K. van der Velden;25/09/2016;Verwijderen stal;38,4
Noteboomenlaan;9197 VU;39;C;Pijlsweerd-Zuid;Bouwbedrijf van Grootveld B.V.;D. Veenstra;16/10/2019;Boomkap;22,4
Nicolaas Beetsstraat;2366 GC;131;;Oudwijk;Hopman Bouw b.v.;Q. Vos;06/01/2019;Aanbouw;32
Kaatstraat;2253 XA;144;D;Tuinwijk-Oost;Bouwbedrijf van Grootheest B.V.;R. Hoekstra;19/02/2020;Verwijderen stal;19,2
Inundatiekade;5701 OG;123;;Staatsliedenbuurt;M J Oomen riool- en betontechniek B.V.;K. Kok;24/08/2019;Boomkap;38,4
Keistraat;3687 SU;13;;Tuinwijk-West;L vd Wal en Zn B.V.;A. van der Berg;04/07/2016;Gevelrenovatie;28,8
Vereenigingdwarsstraat;5341 SZ;55;A;Rivierenwijk;Dickhoff-Spindler;X. Mulder;20/03/2015;Nieuwbouw;9,6
Varkenmarkt;2838 ON;142;;Sterrenwijk;Bouwbedrijf Postma Bergharen;H. Hoekstra;22/05/2019;Nieuwbouw;28,8
Boterstraat;4985 FR;78;;Lombok-West;T yankah TimmerBedrijf;N. van den Bosch;07/09/2017;Nieuwbouw;32
Jan van Scorelstraat;9620 JI;37;B;Rivierenwijk;Bouwbedrijf Boot B.V.;Z. Vink;02/09/2017;Stal;16
Kersstraat;9642 XL;51;;Lunetten-Noord;Strukton Civiel Noord & Oost;B. Martens;18/02/2015;Verwijderen stal;22,4
Willemstraat;2276 HK;4;;Staatsliedenbuurt;SBC Aannemers B.V.;O. van der Laan;12/07/2018;Boomkap;9,6
Kleine Slachtsteeg;6450 KS;3;;Kanaleneiland-Zuid;vd Bouwbedrijf Fliert B.V.;M. Jacobs;19/06/2015;Schuur;22,4
Moesstraat;8423 WZ;1;;Staatsliedenbuurt;Bouwbedrijf de Driehoek bv;Z. van der Heyden;06/01/2020;Dakkapel;22,4
Takstraat;6297 WE;68;B;Rivierenwijk;Veldwachter Aannemersbedrijf B.V.;O. Koning;23/03/2018;Dakkapel;28,8
Baansteeg 1e;1756 FO;102;B;Bedrijvengebied Overvecht;Veldwachter Aannemersbedrijf B.V.;C. van Beek;31/10/2015;Gevelrenovatie;22,4
Minstraat;3120 YZ;83;B;Tuinwijk-Oost;Sirre Aannemersbedrijf A;Y. de Wit;04/01/2017;Aanbouw;25,6
Pietersplein;8254 IX;83;;Pijlsweerd-Zuid;Hoogstraten Wegenbouw B.V.;H. de Jong;02/04/2017;Boomkap;12,8
Blokstraat;3367 QC;134;;Watervogelbuurt;Aannemersbedrijf Jannes Blomberg;P. de Vries;16/07/2018;Stal;12,8
Zuilensteeg;3577 PF;59;;Kanaleneiland-Noord;ABC loodgieters;T. Martens;17/07/2017;Dakkapel;22,4
Janskerkhof;2430 NB;82;A;Transwijk-Zuid;Balemans Bouwbedrijf B.V.;I. de Leeuw;02/11/2016;Boomkap;19,2
Oude Kerkstraat;3011 MD;69;;Lombok-Oost;Wevers en Zn Aannemersbedrijf Fa G;G. van de Pol;03/05/2020;Stal;25,6
Hamsteeg;2037 RY;63;;Kanaleneiland-Noord;Aannemersbedrijf Meeusen en Zn B.V.;N. Postma;30/03/2019;Boomkap;16
Potterstraat;8911 DJ;126;;Bedrijventerrein Lageweide;NRB Bouw B.V.;H. Koster;17/05/2019;Gevelrenovatie;19,2
Jacobskerkstraat;1114 LG;32;;Lunetten-Zuid;Ippel Civiele Betonbouw BV;R. van Veen;19/03/2016;Dakkapel;38,4
Helling;5509 BA;94;;Terwijde;Doensen bouwbedrijf;T. de Vries;02/06/2015;Nieuwbouw;38,4
Achterstraat 2e;7300 OW;76;;Bedrijventerrein Lageweide;Bouwbedrijf van der Sloot;S. Meyer;14/03/2019;Boomkap;6,4
Bankaplein;1855 DL;140;;Oudwijk;Driemond Bouw B.V.;R. Kuiper;11/05/2016;Aanbouw;32
Wijde Watersteeg;6827 PD;18;;Langerak;Tijdhof-Hobema aannemers bv;E. van den Pol;20/07/2015;Verwijderen stal;9,6
Leeuwstraat;2859 BH;90;;Staatsliedenbuurt;Bouwservice Harberink;Q. de Haan;26/03/2019;Aanbouw;9,6
Doornboomstraat;5682 PW;53;;Langerak;Hoornstra Bouwbedrijven B.V.;W. Blom;08/06/2020;Boomkap;38,4
Catharijnesingel;6789 HJ;33;;Transwijk-Noord;Reitsma Bouw;I. Molenaar;31/03/2015;Schuur;32
Visscherssteeg;5730 OL;140;;Nieuw Hoograven;DOVER Verkeersmaatregelen;U. van Dam;28/12/2018;Nieuwbouw;19,2
Antoniedijk;8439 UT;39;;Staatsliedenbuurt;Bouwpartners B.V.;F. van der Heijden;09/03/2015;Boomkap;32
Servetstraat;8461 ZQ;11;C;Bloemenbuurt;Home Solution;B. Bosch;28/12/2016;Boomkap;12,8
Boschstraat;3573 AB;101;C;Tweede Daalsebuurt en omgeving;Aannemingsbedrijf E Bonneveld B.V.;N. Prins;22/12/2017;Nieuwbouw;25,6
Zandstraat;2930 OC;3;B;Zuilen-Noord;Bouwbedrijf vd Heijden B.V.;V. Maas;04/02/2020;Boomkap;32
Koningstraat;5580 XQ;123;B;Bokkenbuurt;Bee Pee HOUT bouw;A. van de Velde;11/10/2015;Gevelrenovatie;32
Oudegracht (Weerd);9795 DJ;86;;Dichterswijk;Bouwmaatschappij Visser en Mol B.V.;T. Smit;08/08/2019;Nieuwbouw;38,4
Kroonsteeg;2731 MW;125;;Zuilen-Noord;Bouwbedrijf vd Horst B.V.;E. Hermans;31/05/2020;Stal;9,6
Turfstraat;4712 RF;30;;Ondiep;Traas en Ovaa Infra B.V.;V. de Bruyn;25/01/2019;Schuur;9,6
Stroomkade;3433 XN;143;B;Bedrijventerrein Lageweide;bmd bouwenmetdaadkracht;L. van den Velde;24/06/2019;Stal;28,8
Paardenveld;8872 QS;114;;Pijlsweerd-Noord;Bouwbedrijf Gebr. van Dorland;G. Kuiper;17/03/2017;Schuur;32
Leidsche Veer;9506 QT;77;;Sterrenwijk;Danilith Delmulle Bouw B.V.;J. van den Pol;27/04/2016;Schuur;12,8
Rozenhofje;7882 UC;68;C;Lombok-West;Gebr De Koning B.V.;W. Meyer;14/11/2017;Stal;19,2
Jacobijnestraat;6438 WC;149;B;Bedrijvengebied Overvecht;Boersma Aannemersbedrijf B.V.;T. van den Heuvel;07/05/2018;Gevelrenovatie;9,6
Reguliersteeg;3672 MU;117;;Langerak;ZekerBouw;P. Brouwer;22/10/2017;Aanbouw;35,2
Wijckstraat (van);5350 OO;70;;Transwijk-Noord;Aannemersbedrijf Hekman Vroomshoop B.V.;U. van der Pol;07/12/2018;Dakkapel;9,6
Dijkstraat;8848 VI;81;B;Tuinwijk-West;Bouwgroep Van der Pas;B. van de Meer;14/05/2017;Nieuwbouw;16
Kersstraat;3751 GL;58;;Zuilen-Noord;J.Verschoor Bouw B.V.;R. Hoekstra;28/05/2020;Dakkapel;9,6
Delistraat 2e;5090 QH;18;;Dichterswijk;ELBERSE BOUWBEDRIJF B.V.;L. Janssen;25/06/2018;Nieuwbouw;6,4
Mauritsstraat;4029 RK;97;C;Lunetten-Noord;Van den Heuvel;O. Prins;01/07/2015;Aanbouw;32
Bijlhouwerstraat;2155 OU;103;;Hogeweide;Koelewijn Bouw B.V.;L. van Dongen;10/04/2020;Schuur;38,4
Billitonstraat;2346 AP;142;;Dichterswijk;Tuerlings Bouw;A. van Dijk;26/01/2019;Aanbouw;19,2
Vinkenkade;2282 PX;35;;Nieuw Hoograven;Bouw- en Handelsmij Van Wingerden B.V.;B. van Loon;07/07/2019;Aanbouw;32
Wijckstraat (van);2522 OK;88;;Tuinwijk-West;Bouwbedrijf Maalderink Reusken;F. van Wijk;02/09/2015;Schuur;6,4
Runnebaan;5021 VN;126;;Bokkenbuurt;Radius Bouwbedrijf;B. Schipper;05/07/2019;Dakkapel;35,2
Moesstraat;5568 MD;48;;Pijlsweerd-Noord;Bouwbedrijf Mario Wesseling;I. van der Berg;26/07/2017;Schuur;25,6
Zonstraat;6120 HI;121;;Lombok-Oost;Wagemakers Bouwbedrijf B.V.;O. van den Velde;29/10/2019;Stal;16
Imhoffstraat (van);9699 DD;71;D;Hogeweide;MPO Vastgoed B.V.;L. Wolters;16/08/2019;Gevelrenovatie;19,2
Covelsteeg;9550 VH;70;B;Molenbuurt;Benko B.V.;L. Kuiper;16/04/2016;Nieuwbouw;19,2
Westerkade;1519 KQ;98;B;Lunetten-Zuid;Bouwbedrijf Hissel;Q. Koning;10/09/2015;Schuur;9,6
Werfsteeg;5110 QF;53;C;Dichterswijk;Vema Schiedam B.V.;A. Post;14/12/2017;Stal;32
Middellaan;6895 LW;83;;Staatsliedenbuurt;A.Maas Bouw B.V.;O. Dijkstra;14/11/2017;Nieuwbouw;22,4
Wijde Watersteeg;8430 DL;22;C;Tuinwijk-Oost;HediBouw;Z. van der Meulen;10/08/2016;Stal;38,4
Wolfaartsteeg;1651 ZQ;24;A;Pijlsweerd-Noord;HaBé Bouwen in Stijl B.V.;U. de Boer;26/03/2016;Gevelrenovatie;16
Kleine Eligensteeg;8558 LI;13;D;Pijlsweerd-Noord;Scheerder Bouwbedrijf B.V.;X. van Dam;28/03/2016;Dakkapel;28,8
Stationsplein;7233 TH;5;;Ondiep;van Stralen & Gremmé;I. van Loon;01/12/2019;Dakkapel;9,6
Zaagmolenkade;3370 BT;47;;Tuinwijk-Oost;Prachtig Huis;Y. van de Veen;01/10/2019;Schuur;9,6
Florastraat;9563 JX;106;B;Schildersbuurt;Albert Martinus Aannemingsbedrijf;X. van der Meulen;07/06/2019;Schuur;22,4
Graanstraat;2833 GX;63;;Geuzenwijk;Bouwbedrijf Tadema Sneek;D. van den Berg;05/10/2016;Dakkapel;16
Nauwe Blindesteeg;1376 KB;80;;Langerak;Aannemingsbedrijf Janssen-Groesbeek B.V.;P. Veenstra;07/11/2017;Aanbouw;28,8
Wittevrouwenstraat;9854 EH;57;;Sterrenwijk;vof de Bouwmaat;I. Schipper;22/03/2015;Gevelrenovatie;38,4
Elisabethsteeg;8676 JB;46;;Kanaleneiland-Noord;Bouwbedrijf Baltussen;Y. van de Pol;11/06/2017;Stal;32
Abstederdijk;3817 RJ;145;;Pijlsweerd-Noord;Krielen J C M;P. de Bruin;31/12/2018;Gevelrenovatie;32
Springweg;4780 ZN;148;B;Pijlsweerd-Zuid;Adema Bouwbedrijf VOF D;O. Evers;15/06/2019;Aanbouw;28,8
Vinkenburgstraat;1010 TW;73;;Transwijk-Noord;vd Veen bouw;M. Kuiper;30/10/2017;Gevelrenovatie;16
Papaverstraat;3549 NU;8;;Staatsliedenbuurt;Aannemersbedrijf De Bouwhorst;R. Smits;26/04/2018;Aanbouw;16
Kwartelstraat;4469 IU;36;;Nieuw Hoograven;T & W Bouw;L. de Bruyn;28/09/2015;Schuur;12,8
Mulderstraat;9091 HD;80;B;Lunetten-Noord;Bouwbedrijf Pennings B.V.;D. de Jong;28/02/2017;Gevelrenovatie;28,8
Palmstraat;4069 SU;88;B;Sterrenwijk;Aannemingsbedrijf BOS;X. Smits;17/02/2016;Boomkap;22,4
Heemskerkstraat;6569 FE;49;;Tuindorp-Oost;Bouwbureau Sjaak Fieman;V. van Doorn;20/01/2018;Schuur;35,2
Gansstraat;7431 OB;13;;Transwijk-Noord;Gerritsen Ulft B.V.;J. van der Wal;22/11/2017;Schuur;16
Catharijnesingel;4173 JB;103;;Molenbuurt;Bouwbedrijf Maalderink Reusken;S. Visser;20/10/2017;Boomkap;22,4
Vleutensche Weg;3548 UR;84;;Transwijk-Noord;Kleinbouw Twente B.V;L. van de Meer;01/01/2016;Dakkapel;12,8
Prinsenhof;6789 SE;57;;Nieuw Hoograven;Home Solution;E. van de Wal;14/11/2018;Boomkap;6,4
Lauwerecht;9073 GL;16;;Kanaleneiland-Noord;Boersma Aannemersbedrijf B.V.;Y. de Vos;22/09/2017;Verwijderen stal;16
Wilhelmina Park;3061 PJ;1;;Pijlsweerd-Noord;J H van Heur Bouwbedrijf B.V.;I. van de Veen;22/06/2017;Stal;9,6
Roodepoort;2545 XW;47;;Lombok-West;Bouwmaatschappij Vuurboom B.V.;W. Gerritsen;26/09/2017;Gevelrenovatie;32
Looierstraat;9083 EX;41;;Molenbuurt;Aannemer Willemsz bouwbedrijf b.v.;H. Kok;24/10/2016;Verwijderen stal;35,2
Eikenboomstraat;7499 KY;33;;Sterrenwijk;Uphoff Timmer-Bouwbedrijf.nl;L. de Bruyn;07/12/2015;Dakkapel;28,8
Buurkerksteeg 3e;1032 CK;23;;Bokkenbuurt;UDB Bouwservice;M. Huisman;19/05/2017;Stal;35,2
Jan Houtmanstraat;4234 KG;117;;Lombok-Oost;Driemond Bouw B.V.;A. de Jonge;10/09/2016;Aanbouw;38,4
Catharijnekade;6142 LM;146;C;Transwijk-Zuid;Vosbouw Vroomshoop B.V.;H. van Dijk;27/02/2016;Aanbouw;9,6
Mariastraat;2885 DI;147;A;Lunetten-Noord;Aannemingsbedrijf Nees De Jong B.V.;U. van Doorn;20/10/2019;Nieuwbouw;19,2
Lekstraat;2242 GU;145;;Lombok-West;Koers Groep BV, vestiging Leiden;F. de Wit;01/03/2016;Gevelrenovatie;16
Kloksteeg;1120 PD;137;A;Tuinwijk-West;van Bouwbedrijf Geresteijn;J. van der Velde;05/03/2015;Nieuwbouw;32
Vaartschestraat;8207 AE;10;;Hogeweide;Home Solution;Q. de Vos;20/12/2018;Stal;35,2
Muntsteeg;7126 AL;111;B;Nieuw Hoograven;Reimerswaal Aannemingsbedrijf;Q. Willems;21/06/2015;Nieuwbouw;19,2
Koningslaan;7826 SG;67;D;Lombok-West;A.Maas Bouw B.V.;F. Vink;29/07/2018;Gevelrenovatie;38,4
Lange Hamstraat;6625 NT;103;;Sterrenwijk;Bakels en Ouwerkerk Bouwgroep;L. de Vries;13/02/2018;Aanbouw;25,6
Hoogelanden WZ;3651 RG;109;;Oudwijk;Roorda en Veldman Aannemersbedrijf;C. van der Berg;28/04/2015;Verwijderen stal;12,8
Koningstraat;4931 LL;120;D;Geuzenwijk;Bramer B.V.;P. Kramer;02/07/2019;Nieuwbouw;9,6
Elimos. V. Oud Munst.;2651 KJ;85;C;Geuzenwijk;Meijer-Oude Lashof Bouwbedrijf;J. van der Velden;06/05/2016;Aanbouw;28,8
Voorstraat;6860 LH;60;B;Lunetten-Zuid;Bouwmaatschappij Vuurboom B.V.;F. Bakker;08/08/2019;Boomkap;38,4
Hagelstraat;3422 AY;39;C;Schildersbuurt;Mens-Zeist Vastgoedonderhoud B.V.;E. Vink;25/09/2019;Boomkap;22,4
Horstdijk;3718 EK;141;;Lunetten-Zuid;Bouwbedrijf Pennings B.V.;U. Hermans;28/06/2019;Nieuwbouw;12,8
Hoogt;8164 PY;35;;Lunetten-Zuid;Schipper&Paaimans Bouwgroep;P. Jacobs;07/08/2015;Dakkapel;22,4
Rembrandtkade;6490 NS;55;;Transwijk-Zuid;Reusken Bouw B.V.;F. van der Berg;01/07/2017;Stal;25,6
Burgstraat;7927 KT;134;;Pijlsweerd-Noord;Aannemingsbedrijf Ri-Jo B.V.;M. Boer;10/12/2019;Dakkapel;12,8
Bokstraat;8090 PS;35;A;Buurtnaam;Bouwbedrijf Terluin B.V.;X. van de Meer;04/02/2020;Schuur;12,8
Nieuwe Koekoekstraat;1778 XW;115;;Transwijk-Noord;Allure Bouw B.V.;P. de Ruiter;23/12/2017;Stal;12,8
Roggestraat;9696 XH;100;B;Bedrijventerrein Lageweide;GP Groot infra en engineering;Q. van Doorn;21/11/2015;Stal;28,8
Trans;1014 FK;52;;Bloemenbuurt;REBBouw;B. van der Veen;02/01/2018;Dakkapel;9,6
Walsteeg;7279 MW;132;;Kanaleneiland-Zuid;Koers Bouw;Z. van Wijk;12/06/2019;Verwijderen stal;12,8
Oudkerkhof;1085 UC;11;;Strijkviertel;Aannemingsmij Vink B.V.;G. Scholten;24/06/2019;Stal;16
Leeuwstraat;1724 NV;144;C;Tuindorp-Oost;Beelen Huiswerk;Y. de Groot;31/01/2017;Aanbouw;12,8
Voetiusstraat;6528 VV;64;;Langerak;Jansen Huybregts B.V.;C. Schipper;15/11/2018;Gevelrenovatie;35,2
Laan van Chartroise;5709 KF;47;D;Lunetten-Noord;Kuperus bouw;N. de Lange;12/01/2020;Stal;12,8
